top - 12:13:53 up  1:22,  1 user,  load average: 2.68, 2.14, 1.98
Tasks: 359 total,   4 running, 355 sleeping,   0 stopped,   0 zombie
%Cpu(s): 53.3 us, 20.0 sy,  0.0 ni, 25.9 id,  0.4 wa,  0.0 hi,  0.4 si,  0.0 st
MiB Mem :  15805.8 total,    587.7 free,   5025.8 used,  10192.3 buff/cache
MiB Swap:   2048.0 total,   1889.1 free,    158.9 used.   9768.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1626 kaushal   20   0  545556   7040   6328 S   0.0   0.0   0:01.02 xdg-document-po
   1634 kaushal   20   0  100556   5044   4608 S   0.0   0.0   0:00.00 gnome-session-c
   1638 kaushal   20   0  244800   5600   5184 S   0.0   0.0   0:00.02 xdg-permission-
   1651 root      20   0    2792   1048    960 S   0.0   0.0   0:00.00 fusermount3
   1656 kaushal   20   0  527852  16476  13816 S   0.0   0.1   0:00.36 gnome-session-b
   1690 kaushal   20   0  309628   7380   6744 S   0.0   0.0   0:00.03 at-spi-bus-laun
   1701 kaushal   20   0    8560   4112   3640 S   0.0   0.0   0:00.06 dbus-daemon
   1710 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1806 kaushal   20   0  582632  13612  11140 S   0.0   0.1   0:00.06 gnome-shell-cal
   1812 kaushal   20   0  949716  21264  17428 S   0.0   0.1   0:00.12 evolution-sourc
   1819 kaushal   20   0  573248  31724  24600 S   0.0   0.2   0:00.15 goa-daemon
   1823 kaushal   20   0 1324256  25272  20976 S   0.0   0.2   0:00.26 evolution-calen
   1824 kaushal   20   0  157092   6324   5532 S   0.0   0.0   0:00.04 dconf-service
   1835 kaushal   20   0  347048  13316  11408 S   0.0   0.1   0:00.08 goa-identity-se
   1836 kaushal   20   0  398452   9200   7296 S   0.0   0.1   0:00.80 gvfs-udisks2-vo
   1853 kaushal   20   0  689080  24832  21488 S   0.0   0.2   0:00.17 evolution-addre
   1854 kaushal   20   0  246192   6536   5828 S   0.0   0.0   0:00.03 gvfs-gphoto2-vo
   1863 kaushal   20   0  323848   8068   7040 S   0.0   0.0   0:00.21 gvfs-afc-volume
   1871 kaushal   20   0  245104   6664   6080 S   0.0   0.0   0:00.04 gvfs-mtp-volume
   1877 kaushal   20   0  245280   6156   5640 S   0.0   0.0   0:00.03 gvfs-goa-volume
   1884 root      20   0  306836  19580  16688 S   0.0   0.1   0:00.16 packagekitd
   1891 kaushal   20   0  397368   8852   7492 S   0.0   0.1   0:01.94 gvfsd-trash
   1903 kaushal   20   0 2948104  23348  18212 S   0.0   0.1   0:00.14 gjs
   1905 kaushal   20   0  162676   7156   6480 S   0.0   0.0   0:00.03 at-spi2-registr
   1920 kaushal   20   0    2888    960    864 S   0.0   0.0   0:00.00 sh
   1921 kaushal   20   0  319084   6528   5948 S   0.0   0.0   0:00.03 gsd-a11y-settin
   1923 kaushal   20   0  323536  11724   7084 S   0.0   0.1   0:02.96 ibus-daemon
   1924 kaushal   20   0  545028  25540  19712 S   0.0   0.2   0:00.32 gsd-color
   1926 kaushal   20   0  384120  15160  13168 S   0.0   0.1   0:00.08 gsd-datetime
   1928 kaushal   20   0  320588   7176   6368 S   0.0   0.0   0:00.29 gsd-housekeepin
   1932 kaushal   20   0  349248  20732  15980 S   0.0   0.1   0:00.15 gsd-keyboard
   1937 kaushal   20   0  725364  26264  20484 S   0.0   0.2   0:00.33 gsd-media-keys
   1938 kaushal   20   0  797944  27068  20564 S   0.0   0.2   0:00.44 gsd-power
   1943 kaushal   20   0  258504  11156   9744 S   0.0   0.1   0:00.04 gsd-print-notif
   1944 kaushal   20   0  466504   6316   5688 S   0.0   0.0   0:00.12 gsd-rfkill
   1945 kaushal   20   0  244936   6196   5656 S   0.0   0.0   0:00.03 gsd-screensaver
   1946 kaushal   20   0  474608  10016   8424 S   0.0   0.1   0:01.17 gsd-sharing
   1947 kaushal   20   0  394696   7716   6836 S   0.0   0.0   0:00.03 gsd-smartcard
   1949 kaushal   20   0  328000   8736   7700 S   0.0   0.1   0:00.03 gsd-sound
   1960 kaushal   20   0  349756  20816  15680 S   0.0   0.1   0:00.16 gsd-wacom
   1996 kaushal   20   0  232260   5904   4532 S   0.0   0.0   0:00.05 gsd-disk-utilit
   2006 kaushal   20   0  813816  52328  37492 S   0.0   0.3   0:00.26 evolution-alarm
   2018 kaushal   20   0  245968   7432   6812 S   0.0   0.0   0:00.00 ibus-dconf
   2022 kaushal   20   0  356476  27176  16392 S   0.0   0.2   0:01.55 ibus-extension-
   2029 kaushal   20   0  245908   7840   6944 S   0.0   0.0   0:00.84 ibus-portal
   2080 kaushal   20   0  351004  13060  11256 S   0.0   0.1   0:00.01 gsd-printer
   2085 kaushal   20   0  172128   7180   6556 S   0.0   0.0   0:00.90 ibus-engine-sim
   2144 colord    20   0  254056  12532   8996 S   0.0   0.1   0:00.14 colord
   2156 kaushal   39  19  642132  24236  15044 S   0.0   0.1   0:00.46 tracker-miner-f
   2164 kaushal   20   0  558724  13776  11548 S   0.0   0.1   0:01.48 xdg-desktop-por
   2173 kaushal   20   0  671596  26728  18500 S   0.0   0.2   0:00.59 xdg-desktop-por
   2243 kaushal   20   0 2939896  23272  18116 S   0.0   0.1   0:00.09 gjs
